construction_type,new_construction,elevator,floors_in_the_building,floor_area,number_of_rooms,number_of_bathrooms,ceiling_height,floor,balcony,furniture,renovation,price,currency,datetime,reg_id,Latitude,Longitude
Panels,0.0,1.0,9.0,70.0,2.0,1.0,2.8,5.0,Closed balcony,Available,Major Renovation,77000.0,USD,2022-12-15,1,40.160491,44.4426945
Panels,0.0,1.0,9.0,31.0,1.0,1.0,2.75,1.0,Not available,Not available,Major Renovation,115000.0,USD,2022-12-15,1,40.1799502,44.5055316
Panels,0.0,1.0,9.0,40.0,1.0,1.0,2.75,5.0,Closed balcony,By agreement,Cosmetic Renovation,71000.0,USD,2022-12-15,1,40.1660217,44.5169416
Stone,0.0,0.0,5.0,55.0,2.0,1.0,2.6,5.0,Open balcony,By agreement,Cosmetic Renovation,62000.0,USD,2022-12-15,1,40.2051737,44.4759851
Stone,0.0,1.0,16.0,60.0,2.0,1.0,2.7,5.0,Open balcony,By agreement,Partial Renovation,62000.0,USD,2022-12-15,1,40.1872023,44.515209
Stone,0.0,0.0,4.0,52.0,2.0,1.0,2.7,4.0,Closed balcony,By agreement,Cosmetic Renovation,57000.0,USD,2022-12-15,1,40.1949414,44.4738206
Panels,0.0,0.0,5.0,60.0,3.0,1.0,2.75,1.0,Closed balcony,By agreement,Cosmetic Renovation,75000.0,USD,2022-12-15,1,40.2090192,44.465662
Stone,0.0,0.0,4.0,210.0,6.0,2.0,2.75,4.0,Open balcony,Available,Major Renovation,275000.0,USD,2022-12-15,1,40.1833847,44.500118
Panels,0.0,1.0,12.0,63.0,3.0,1.0,2.75,12.0,Closed balcony,By agreement,Euro Renovation,100000.0,USD,2022-12-15,1,40.1949414,44.4738206
Panels,0.0,1.0,16.0,80.0,3.0,1.0,2.75,14.0,Closed balcony,By agreement,Old Renovation,65000.0,USD,2022-12-15,1,40.1872023,44.515209
Stone,0.0,0.0,5.0,140.0,5.0,1.0,2.7,2.0,Open balcony,By agreement,Cosmetic Renovation,95000.0,USD,2022-12-15,1,40.2035356,44.4687243
Panels,0.0,1.0,14.0,120.0,4.0,1.0,2.7,10.0,Open balcony,By agreement,Cosmetic Renovation,256.88,AMD,2022-12-15,1,40.2035356,44.4687243
Panels,0.0,1.0,14.0,104.0,3.0,1.0,2.75,3.0,Closed balcony,By agreement,Partial Renovation,90000.0,USD,2022-12-15,1,40.21997080000001,44.4359686
Panels,1.0,1.0,9.0,48.0,1.0,1.0,2.8,1.0,Not available,By agreement,Major Renovation,66000.0,USD,2022-12-15,1,40.21997080000001,44.4359686
Stone,0.0,0.0,4.0,38.0,1.0,1.0,2.7,1.0,Closed balcony,By agreement,Old Renovation,43000.0,USD,2022-12-15,1,40.203488,44.474739
Monolith,1.0,1.0,16.0,62.0,3.0,2.0,2.8,6.0,Open balcony,Not available,No Renovation,192.66,AMD,2022-12-15,1,40.2231704,44.5403843
Stone,0.0,0.0,5.0,48.0,1.0,1.0,2.7,1.0,Closed balcony,By agreement,Major Renovation,62000.0,USD,2022-12-15,1,40.1938642,44.4541139
Stone,0.0,0.0,5.0,48.0,1.0,1.0,2.7,4.0,Not available,By agreement,Major Renovation,65000.0,USD,2022-12-15,1,40.2051737,44.4759851
Panels,0.0,1.0,9.0,78.0,2.0,1.0,2.75,1.0,Closed balcony,By agreement,Cosmetic Renovation,216.32,AMD,2022-12-15,1,40.220299,44.48818929999999
Panels,0.0,0.0,5.0,64.0,3.0,1.0,3.0,4.0,Closed balcony,Available,Old Renovation,0.5408,AMD,2022-11-25,8,39.144351,46.141533
Stone,0.0,0.0,4.0,80.0,3.0,1.0,3.0,4.0,Open balcony,Not available,Old Renovation,16000.0,USD,2022-11-25,9,40.6379848,44.2249621
Stone,0.0,0.0,2.0,750.0,4.0,2.0,3.0,2.0,Open balcony,,Partial Renovation,100000.0,USD,2022-11-25,9,40.2591212,44.1793418
Panels,0.0,1.0,10.0,97.0,3.0,1.0,2.8,2.0,Multiple balconies,Available,Major Renovation,115000.0,USD,2022-11-25,9,40.3586902,43.95745429999999
Stone,1.0,0.0,3.0,55.0,3.0,2.0,2.5,3.0,Open balcony,Not available,Partial Renovation,600.0,USD,2022-11-25,9,40.2591212,44.1793418
Stone,0.0,0.0,4.0,120.0,4.0,1.0,2.8,4.0,Open balcony,By agreement,Old Renovation,104.78,AMD,2022-11-25,9,40.3822607,43.8782737
Stone,1.0,0.0,2.0,150.0,6.0,2.0,2.7,1.0,Open balcony,Available,No Renovation,45000.0,USD,2022-11-25,9,40.1217723,44.4739467
Stone,0.0,0.0,5.0,46.0,1.0,1.0,2.7,4.0,Closed balcony,Not available,Old Renovation,8200.0,USD,2022-11-25,9,40.6379848,44.2249621
Stone,0.0,0.0,4.0,54.0,2.0,1.0,3.0,4.0,Closed balcony,Not available,Partial Renovation,27000.0,USD,2022-11-25,9,40.5922068,44.3574379
Stone,0.0,0.0,4.0,57.0,3.0,1.0,2.7,4.0,Closed balcony,,Partial Renovation,47.32,AMD,2022-11-25,9,40.3822607,43.8782737
Panels,0.0,0.0,5.0,76.0,3.0,1.0,3.0,2.0,Closed balcony,,Cosmetic Renovation,94.64,AMD,2022-11-25,9,40.2809533,44.3446899
Stone,0.0,0.0,2.0,250.0,5.0,1.0,2.8,2.0,Open balcony,,Old Renovation,50000.0,USD,2022-11-25,9,40.3373909,44.272133
Stone,0.0,0.0,3.0,47.0,2.0,1.0,2.8,3.0,Open balcony,,Euro Renovation,63000.0,USD,2022-11-25,9,40.2591212,44.1793418
Stone,1.0,0.0,2.0,47.0,1.0,1.0,2.7,2.0,Closed balcony,Not available,Euro Renovation,42000.0,USD,2022-11-25,9,40.2591212,44.1793418
Stone,0.0,0.0,5.0,48.0,1.0,2.0,2.8,2.0,Closed balcony,Available,Old Renovation,17000.0,USD,2022-11-25,9,40.3822607,43.8782737
Stone,0.0,0.0,2.0,818.0,5.0,1.0,3.5,2.0,Open balcony,Available,Euro Renovation,330000.0,USD,2022-11-25,9,40.1639535,44.2946529
Stone,0.0,0.0,4.0,56.0,3.0,1.0,2.8,3.0,Closed balcony,By agreement,Partial Renovation,18000.0,USD,2022-11-25,9,40.3822607,43.8782737
Stone,0.0,0.0,4.0,60.0,1.0,1.0,2.8,1.0,Multiple balconies,Available,Partial Renovation,12000.0,USD,2022-11-25,9,40.383481,43.8683444
Stone,0.0,0.0,4.0,50.0,1.0,1.0,2.8,1.0,Open balcony,Not available,Partial Renovation,29.068,AMD,2022-11-25,9,40.3834432,43.8687831
Stone,0.0,0.0,5.0,50.0,1.0,1.0,2.8,2.0,Open balcony,,Partial Renovation,7000.0,USD,2022-11-25,9,40.6379848,44.2249621
Stone,0.0,0.0,4.0,75.0,3.0,1.0,2.75,3.0,Multiple balconies,,Designer Renovation,14000.0,USD,2022-11-25,9,40.5922068,44.3574379
Stone,0.0,0.0,5.0,70.0,2.0,1.0,2.7,4.0,Closed balcony,,Old Renovation,18000.0,USD,2022-11-25,9,40.3822607,43.8782737
Stone,0.0,0.0,1.0,120.0,3.0,1.0,2.5,1.0,Not available,,Old Renovation,90000.0,USD,2022-11-25,9,40.2955229,44.2100499
Stone,0.0,0.0,1.0,3000.0,4.0,1.0,2.75,1.0,Multiple balconies,,Old Renovation,30000.0,USD,2022-11-25,9,40.5144561,44.3901181
